Name,Surname,Homework1,Homework2,Homework3,Homework4,Homework5,Exam
Name1,Surname1,6,6,8,7,8,4
Name2,Surname2,6,7,9,3,7,3
Name3,Surname3,8,8,6,6,7,5
Name4,Surname4,5,7,4,8,2,6
Name5,Surname5,8,4,1,10,1,2
Name6,Surname6,7,7,4,3,7,4
Name7,Surname7,4,10,5,8,2,4
Name8,Surname8,8,8,5,4,6,1
Name9,Surname9,6,8,7,1,4,3
Name10,Surname10,9,3,3,9,10,3
Name11,Surname11,6,2,3,6,5,6
Name12,Surname12,5,6,8,1,6,2
Name13,Surname13,10,8,2,4,1,7
Name14,Surname14,8,7,2,6,1,10
Name15,Surname15,10,9,2,1,6,7
Name16,Surname16,5,6,4,8,1,8
Name17,Surname17,1,10,8,3,8,2
Name18,Surname18,7,3,1,3,7,3
Name19,Surname19,8,8,9,2,7,2
Name20,Surname20,5,2,5,9,2,2
Name21,Surname21,2,5,8,3,8,8
Name22,Surname22,4,3,8,9,3,1
Name23,Surname23,5,2,8,9,3,9
Name24,Surname24,9,5,7,10,8,4
Name25,Surname25,6,6,9,5,10,4
Name26,Surname26,6,4,6,3,5,10
Name27,Surname27,7,4,1,6,6,1
Name28,Surname28,9,8,8,2,8,6
Name29,Surname29,8,3,8,7,3,3
Name30,Surname30,1,6,3,6,9,10
Name31,Surname31,2,5,8,8,2,5
Name32,Surname32,2,10,3,3,9,7
Name33,Surname33,1,8,5,3,3,5
Name34,Surname34,8,9,3,4,5,7
Name35,Surname35,1,2,1,7,2,1
Name36,Surname36,4,9,10,9,9,9
Name37,Surname37,8,4,3,7,5,5
Name38,Surname38,7,8,1,3,2,10
Name39,Surname39,8,9,4,7,10,9
Name40,Surname40,6,1,9,4,5,8
Name41,Surname41,10,6,4,10,9,7
Name42,Surname42,3,2,7,4,7,4
Name43,Surname43,1,3,2,1,10,10
Name44,Surname44,8,7,4,8,5,3
Name45,Surname45,3,4,3,8,5,10
Name46,Surname46,6,8,4,3,3,10
Name47,Surname47,8,1,7,3,3,6
Name48,Surname48,7,8,10,2,6,3
Name49,Surname49,3,9,8,2,1,9
Name50,Surname50,9,6,6,3,7,9
Name51,Surname51,6,7,7,7,10,7
Name52,Surname52,10,8,6,7,4,4
Name53,Surname53,6,6,5,3,2,8
Name54,Surname54,10,9,5,8,3,9
Name55,Surname55,5,3,10,6,8,6
Name56,Surname56,9,6,2,9,6,4
Name57,Surname57,9,10,2,3,1,6
Name58,Surname58,8,3,9,3,5,10
Name59,Surname59,6,7,10,2,2,2
Name60,Surname60,3,10,3,2,9,8
Name61,Surname61,2,8,4,1,7,7
Name62,Surname62,4,9,2,8,8,7
Name63,Surname63,5,2,7,4,7,4
Name64,Surname64,4,4,5,4,6,4
