Name,Surname,FinalScore
Name1883,Surname1883,9.68
Name7598,Surname7598,9.68
Name6893,Surname6893,9.6
Name1893,Surname1893,9.6
Name1492,Surname1492,9.52
Name9806,Surname9806,9.44
Name8779,Surname8779,9.44
Name533,Surname533,9.44
Name3770,Surname3770,9.44
Name9187,Surname9187,9.44
Name986,Surname986,9.36
Name8743,Surname8743,9.36
Name1267,Surname1267,9.36
Name1327,Surname1327,9.28
Name1776,Surname1776,9.28
Name8935,Surname8935,9.28
Name1068,Surname1068,9.28
Name5280,Surname5280,9.28
Name4798,Surname4798,9.28
Name8533,Surname8533,9.28
Name5942,Surname5942,9.2
Name1992,Surname1992,9.2
Name5804,Surname5804,9.2
Name2802,Surname2802,9.2
Name9240,Surname9240,9.2
Name211,Surname211,9.2
Name9539,Surname9539,9.2
Name176,Surname176,9.2
Name6886,Surname6886,9.2
Name9742,Surname9742,9.2
Name9832,Surname9832,9.2
Name8471,Surname8471,9.2
Name6087,Surname6087,9.2
Name1316,Surname1316,9.2
Name399,Surname399,9.12
Name1176,Surname1176,9.12
Name2965,Surname2965,9.12
Name7693,Surname7693,9.12
Name321,Surname321,9.12
Name3175,Surname3175,9.12
Name5720,Surname5720,9.12
Name5645,Surname5645,9.12
Name9975,Surname9975,9.12
Name8662,Surname8662,9.12
Name8355,Surname8355,9.12
Name4397,Surname4397,9.12
Name163,Surname163,9.12
Name3218,Surname3218,9.12
Name4448,Surname4448,9.12
Name8532,Surname8532,9.12
Name9752,Surname9752,9.12
Name9814,Surname9814,9.12
Name3438,Surname3438,9.12
Name2233,Surname2233,9.08
Name4308,Surname4308,9.04
Name5641,Surname5641,9.04
Name5285,Surname5285,9.04
Name4595,Surname4595,9.04
Name8000,Surname8000,9.04
Name3909,Surname3909,9.04
Name689,Surname689,9.04
Name1232,Surname1232,9.04
Name6128,Surname6128,9.04
Name641,Surname641,9.04
Name1852,Surname1852,9.04
Name7194,Surname7194,9.04
Name6917,Surname6917,9.04
Name4255,Surname4255,9
Name1546,Surname1546,8.96
Name5349,Surname5349,8.96
Name5233,Surname5233,8.96
Name2320,Surname2320,8.96
Name3725,Surname3725,8.96
Name5179,Surname5179,8.96
Name4421,Surname4421,8.96
Name9702,Surname9702,8.96
Name9450,Surname9450,8.96
Name9747,Surname9747,8.96
Name3934,Surname3934,8.96
Name961,Surname961,8.96
Name3285,Surname3285,8.96
Name964,Surname964,8.96
Name99,Surname99,8.96
Name9045,Surname9045,8.96
Name7705,Surname7705,8.96
Name4714,Surname4714,8.96
Name5406,Surname5406,8.96
Name8744,Surname8744,8.96
Name5997,Surname5997,8.96
Name3784,Surname3784,8.96
Name2922,Surname2922,8.92
Name207,Surname207,8.92
Name4412,Surname4412,8.88
Name6311,Surname6311,8.88
Name2425,Surname2425,8.88
Name1270,Surname1270,8.88
Name355,Surname355,8.88
Name3428,Surname3428,8.88
Name2044,Surname2044,8.88
Name7061,Surname7061,8.88
Name4209,Surname4209,8.88
Name824,Surname824,8.88
Name9876,Surname9876,8.88
Name7882,Surname7882,8.88
Name4396,Surname4396,8.88
Name1298,Surname1298,8.88
Name7344,Surname7344,8.88
Name1691,Surname1691,8.88
Name1043,Surname1043,8.88
Name4298,Surname4298,8.88
Name8101,Surname8101,8.88
Name9528,Surname9528,8.88
Name6533,Surname6533,8.88
Name7718,Surname7718,8.88
Name6620,Surname6620,8.88
Name226,Surname226,8.88
Name3361,Surname3361,8.88
Name5603,Surname5603,8.88
Name8370,Surname8370,8.88
Name7963,Surname7963,8.88
Name4669,Surname4669,8.88
Name679,Surname679,8.84
Name8391,Surname8391,8.84
Name9756,Surname9756,8.84
Name127,Surname127,8.84
Name8630,Surname8630,8.84
Name5566,Surname5566,8.84
Name5575,Surname5575,8.84
Name2216,Surname2216,8.8
Name693,Surname693,8.8
Name2835,Surname2835,8.8
Name5858,Surname5858,8.8
Name7787,Surname7787,8.8
Name8877,Surname8877,8.8
Name5107,Surname5107,8.8
Name829,Surname829,8.8
Name7227,Surname7227,8.8
Name4148,Surname4148,8.8
Name9947,Surname9947,8.8
Name1807,Surname1807,8.8
Name5847,Surname5847,8.8
Name9403,Surname9403,8.8
Name5809,Surname5809,8.8
Name9960,Surname9960,8.8
Name9223,Surname9223,8.8
Name2159,Surname2159,8.8
Name9243,Surname9243,8.8
Name9919,Surname9919,8.8
Name5756,Surname5756,8.8
Name7734,Surname7734,8.8
Name1676,Surname1676,8.8
Name8639,Surname8639,8.8
Name3663,Surname3663,8.8
Name6659,Surname6659,8.8
Name4454,Surname4454,8.8
Name6640,Surname6640,8.8
Name6282,Surname6282,8.8
Name1348,Surname1348,8.8
Name3031,Surname3031,8.8
Name4808,Surname4808,8.8
Name2697,Surname2697,8.8
Name4556,Surname4556,8.8
Name7300,Surname7300,8.8
Name1628,Surname1628,8.8
Name4639,Surname4639,8.76
Name4686,Surname4686,8.76
Name4181,Surname4181,8.76
Name4587,Surname4587,8.76
Name7491,Surname7491,8.76
Name2678,Surname2678,8.76
Name7726,Surname7726,8.76
Name4684,Surname4684,8.72
Name507,Surname507,8.72
Name418,Surname418,8.72
Name1845,Surname1845,8.72
Name4386,Surname4386,8.72
Name1499,Surname1499,8.72
Name7269,Surname7269,8.72
Name8334,Surname8334,8.72
Name9001,Surname9001,8.72
Name8187,Surname8187,8.72
Name7626,Surname7626,8.72
Name3094,Surname3094,8.72
Name5812,Surname5812,8.72
Name410,Surname410,8.72
Name3987,Surname3987,8.72
Name762,Surname762,8.72
Name5770,Surname5770,8.72
Name5567,Surname5567,8.72
Name5136,Surname5136,8.72
Name9278,Surname9278,8.72
Name6234,Surname6234,8.72
Name1823,Surname1823,8.72
Name8909,Surname8909,8.72
Name5343,Surname5343,8.72
Name4237,Surname4237,8.72
Name2959,Surname2959,8.72
Name2639,Surname2639,8.72
Name9758,Surname9758,8.72
Name6335,Surname6335,8.72
Name9509,Surname9509,8.72
Name9828,Surname9828,8.72
Name4174,Surname4174,8.72
Name7591,Surname7591,8.72
Name6372,Surname6372,8.72
Name4819,Surname4819,8.72
Name3500,Surname3500,8.72
Name9760,Surname9760,8.72
Name929,Surname929,8.72
Name1997,Surname1997,8.72
Name1192,Surname1192,8.72
Name6394,Surname6394,8.72
Name3918,Surname3918,8.72
Name2226,Surname2226,8.72
Name7555,Surname7555,8.72
Name719,Surname719,8.72
Name1651,Surname1651,8.68
Name5685,Surname5685,8.68
Name9639,Surname9639,8.68
Name2502,Surname2502,8.68
Name3636,Surname3636,8.68
Name3747,Surname3747,8.68
Name36,Surname36,8.68
Name1287,Surname1287,8.64
Name5215,Surname5215,8.64
Name5246,Surname5246,8.64
Name139,Surname139,8.64
Name7241,Surname7241,8.64
Name9485,Surname9485,8.64
Name7528,Surname7528,8.64
Name7484,Surname7484,8.64
Name1342,Surname1342,8.64
Name279,Surname279,8.64
Name9437,Surname9437,8.64
Name6992,Surname6992,8.64
Name6930,Surname6930,8.64
Name7309,Surname7309,8.64
Name6907,Surname6907,8.64
Name5631,Surname5631,8.64
Name8153,Surname8153,8.64
Name4552,Surname4552,8.64
Name3193,Surname3193,8.64
Name7466,Surname7466,8.64
Name5607,Surname5607,8.64
Name3383,Surname3383,8.64
Name6837,Surname6837,8.64
Name2585,Surname2585,8.64
Name3192,Surname3192,8.64
Name8583,Surname8583,8.64
Name9525,Surname9525,8.64
Name8013,Surname8013,8.64
Name4853,Surname4853,8.64
Name3723,Surname3723,8.64
Name482,Surname482,8.64
Name4456,Surname4456,8.64
Name9170,Surname9170,8.64
Name7936,Surname7936,8.64
Name7946,Surname7946,8.64
Name9052,Surname9052,8.64
Name8078,Surname8078,8.64
Name3117,Surname3117,8.64
Name2010,Surname2010,8.64
Name1711,Surname1711,8.64
Name4979,Surname4979,8.64
Name4707,Surname4707,8.64
Name8841,Surname8841,8.64
Name3512,Surname3512,8.64
Name4908,Surname4908,8.64
Name440,Surname440,8.64
Name9946,Surname9946,8.6
Name2476,Surname2476,8.6
Name6333,Surname6333,8.6
Name2958,Surname2958,8.6
Name9027,Surname9027,8.6
Name6627,Surname6627,8.6
Name178,Surname178,8.6
Name4947,Surname4947,8.6
Name883,Surname883,8.6
Name2381,Surname2381,8.56
Name1033,Surname1033,8.56
Name5257,Surname5257,8.56
Name2003,Surname2003,8.56
